run_id,version,artifact_version,suite,case_id,is_multiturn,case_failure_type,observed_mismatch,expected_tool,actual_tool,passed,routing_correct,args_correct,failures
v0_B_base_groq_20260729T101251117761,v0,v0,base,R01_user_tweets_routing,False,wrong_tool,,timeline,timeline,True,True,True,
v0_B_base_groq_20260729T101251117761,v0,v0,base,R02_search_tweets_routing,False,wrong_tool,,social_search,social_search,True,True,True,
v0_B_base_groq_20260729T101251117761,v0,v0,base,R03_web_news_routing,False,wrong_arg_value,wrong_arg_value,lookup,lookup,False,True,False,query: expected 'AI', got 'AI news'
v0_B_base_groq_20260729T101251117761,v0,v0,base,R08_out_of_scope,False,out_of_scope,extra_tool_call,no_tool,lookup,False,False,False,extra tool call lookup
v0_B_base_groq_20260729T101251117761,v0,v0,base,R10_missing_handle,False,missing_info,missing_tool_call,clarify,timeline,False,False,False,missing tool call clarify
v0_B_base_groq_20260729T101251117761,v0,v0,base,R11_missing_url,False,missing_info,missing_tool_call,clarify,fetch,False,False,False,missing tool call clarify
v0_B_base_groq_20260729T101251117761,v0,v0,base,R12_confirm_before_send,False,wrong_boundary,missing_tool_call,clarify,send,False,False,False,missing tool call clarify
v0_B_base_groq_20260729T101251117761,v0,v0,base,R13_parallel_web_and_tweets,False,wrong_tool,missing_tool_call,lookup|social_search,lookup,False,False,False,missing tool call social_search
v1_B_base_groq_20260729T111124200985,v1,v1,base,R03_web_news_routing,False,wrong_arg_value,,lookup,lookup,True,True,True,
v1_B_base_groq_20260729T111124200985,v1,v1,base,R08_out_of_scope,False,out_of_scope,,no_tool,no_tool,True,True,True,
v1_B_base_groq_20260729T111124200985,v1,v1,base,R10_missing_handle,False,missing_info,,clarify,clarify,True,True,True,
v1_B_base_groq_20260729T111124200985,v1,v1,base,R11_missing_url,False,missing_info,,clarify,clarify,True,True,True,
v1_B_base_groq_20260729T111124200985,v1,v1,base,R12_confirm_before_send,False,wrong_boundary,wrong_arg_value,clarify,clarify,False,True,False,response_type: expected 'yes_no', got 'text'
v2_B_base_gemini_20260729T120525756241,v2,v2,base,R12_confirm_before_send,False,wrong_boundary,,clarify,clarify,True,True,True,
v3_B_base_gemini_20260729T123027021294,v3,v3,base,ALL_CASES,False,none,,ALL,ALL,True,True,True,All 20 base cases passed
v3_B_group_gemini_20260729T122325678855,v3,v3,group,ALL_CASES,False,none,,ALL,ALL,True,True,True,All 10 group cases passed
